GENE_NAME	human.mean
ENTPD3	1.175
CTNNB1	75.0375
ULK4	1.86
FADD	17.3375
LTBP3	77.5825
NAALADL1	4.8175
SF1	124.505
SPP2	2.3025
CCDC88B	2.735
SCARA3	4.4575
SCARA5	1.3025
PNOC	0.535
PAFAH1B2	24.0275
ANKS3	18.905
ACTN1	34.235
NUDT16L1	39.81
RAB4A	25.4475
KCNJ4	0.535
SETD5	15.4325
FAM83B	1.0275
ZFYVE26	5.2925
DDIT4	59.1625
LMBRD1	48.9775
ZCCHC4	2.8975
TTC39C	2.2875
GNG4	1.1225
RPS6KA6	2.755
UBTD2	7.77
NKIRAS2	19.2375
KCNV2	0.07
IRF2BP2	48.975
PTF1A	0.02
NT5DC2	33.635
FOXI1	25.33
SMIM4	42.8725
EPN2	11.6325
KIF5C	1.0425
MGAT2	7.065
THAP11	16.355
PXK	13.1375
KCTD6	8.6475
ACOX2	44.815
IRF2	11.2625
MOBP	0.025
CX3CR1	0.6525
PPDPFL	0
XIRP1	0.0075
LIMS2	39.91
ARF4	82.7675
FILIP1L	6.7
MFSD2A	11.0475
TAP1	15.0825
ING5	10.2475
ATG4B	39.16
BDKRB2	6.095
ASIC4	0.02
RFWD3	5.25
MTNR1A	1.605
KCNG4	0
RHOH	0.74
COG7	16.1075
CDC40	6.765
SCNN1B	32.7675
TMEM98	34.25
SPEG	3.645
HR	0.4075
RAB31	12.3525
REEP4	6.8375
TNXB	0.95
LGI3	0.9175
SFTPC	0.2525
BMP1	8.6375
LNX1	5.995
POLR3D	9.5375
FEN1	4.755
CAVIN2	22.955
MTCL1	3.1375
GBX2	0
HFE2	0.325
ALDH3A2	52.91
MYL1	0
TRAPPC11	8.2625
CHRM1	0.43
COL3A1	28.15
ING2	8.495
CDKN2AIP	7.81
SNRNP48	3.64
SLC20A2	21.7125
DYNLRB2	3.325
TMUB2	27.21
STAT3	70.9625
ZSWIM1	7.3625
ADAM18	0.11
GDNF	0.3275
SREBF1	71.555
AXIN2	1.6825
VWA3B	0.135
FAM84B	22.955
LDLRAD4	3.1525
KCTD19	0.54
SLC16A4	39.8125
IL7R	1.705
TMEM208	51.2525
AHCYL1	108.285
PKIG	86.525
NPNT	61.47
CA7	0.0525
FAM178B	0.2625
SEMA4C	9.815
CNNM3	12.655
TET2	2.2725
CXXC4	0.285
AFF4	12.2925
TCTN2	9.745
SHOX2	0.0775
PPIP5K1	10.2125
TSPAN5	5.655
ABHD15	7.7725
ZBTB5	5.0675
SNTB2	5.6325
IL12A	0.16
ZNF507	2.615
NSG1	26.265
ZBTB49	1.2675
GFM1	23.77
ATOH8	8.54
SOX14	0
MPP5	13.505
SFTPB	1.475
USP39	25.835
TNIP2	41.5075
TMEM150A	43.02
RHOBTB1	27.375
ZNF608	4.3525
SLC35G2	1.5325
INPP5D	4.6775
LETM1	28.6275
TMEM129	42.71
PPIC	26.0825
SPRY3	0.2525
CEP120	4.1775
STXBP6	2.375
TM4SF20	0.11
CPLX1	4.5925
PXDC1	21.34
